"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"構造計算適合性判定の審査期間：法6条の3
審査期間：原則14日以内。
ただし、35日の範囲内で延長が可能","構造計算適合性判定の審査期間：法6条の3
審査期間：原則14日以内。
ただし、35日の範囲内で延長が可能"
■工事中の措置,■工事中の措置
"・工事現場の危害防止：法90条、令136条
施工者は
地盤の崩落、建築物の倒壊などの危害を防止するために
技術的基準による必要な措置を講じなければならない。","・工事現場の危害防止：法90条、令136条
施工者は
地盤の崩落、建築物の倒壊などの危害を防止するために
技術的基準による必要な措置を講じなければならない。"
"・工事中の特殊建築物等に対する措置：法90条の2

特定行政庁は、施工中に使用されている法6条1項一号から三号までの建築物が
安全上等に支障がある場合は、
使用禁止等などを命じることができる","・工事中の特殊建築物等に対する措置：法90条の2

特定行政庁は、施工中に使用されている法6条1項一号から三号までの建築物が
安全上等に支障がある場合は、
使用禁止等などを命じることができる"
"・工事中における安全上の措置などに関する計画：法90条の3、令147条

法別表1(い)の○○項（劇○○等）、○○項（病○○、共○○等）、○○項（百○○等）の
・新○○、又は、避○○施設等に関する工事で
・施○○中に建築物を利用する場合
・特○○庁に、工○○計画を提出する必要がある。","・工事中における安全上の措置などに関する計画：法90条の3、令147条

法別表1(い)の一項（劇場等）、二項（病院、共同住宅等）、四項（百貨店等）の
・新築、又は、避難施設等に関する工事で
・施工中に建築物を利用する場合
・特定行政庁に、工事中における安全上の措置などに関する計画を提出する必要がある。"
・避難施設等に関する工事：法7条の6、令13条、令13条の2,・避難施設等に関する工事：法7条の6、令13条、令13条の2
【手続②検査・報告・届出】,【手続②検査・報告・届出】
"完了検査：法7条
完了検査の申請：
工事完了して○○日以内に建○○事に到達が必要

完了検査の実施
・建築主事が行う場合：申請受理日から○○日以内に検査。OKなら検○○証を発行
・指定確認検査機関が行う場合：工○○日または検○○日のどちらか遅い方から○○日以内に検査。OKなら検○○証を発行 。
検査後、完○○報告書を作成し特○○庁に提出。
※検査引受日っていうのは、検査依頼を受けた日って意味と思われ。工事完了日より前に事前に検査申請だけは出来るってことかなぁと思われ！","完了検査：法7条
完了検査の申請：
工事完了して○○日以内に建○○事に到達が必要

完了検査の実施
・建築主事が行う場合：申請受理日から○○日以内に検査。OKなら検○○証を発行
・指定確認検査機関が行う場合：工○○日または検○○日のどちらか遅い方から○○日以内に検査。OKなら検○○証を発行 。
検査後、完○○報告書を作成し特○○庁に提出。
※検査引受日っていうのは、検査依頼を受けた日って意味と思われ。工事完了日より前に事前に検査申請だけは出来るってことかなぁと思われ！"
"工事完了届（not完了検査）：法○○条
・建築物の用○○工事の場合は、完了検査は行わない。
・工○○届を特○○庁の建○○事に提出を行う。
・期限：工事完了日から○○日以内","工事完了届（not完了検査）：法87条
・建築物の用途変更工事の場合は、完了検査は行わない。
・工事完了届を建築主事（特定行政庁）に提出を行う。
・期限：工事完了日から4日以内"
"中間検査：法7条
・中間検査の申請：
建築主は、特定工程を含む工事の場合、特定工程終了後○○日以内に、
建○○事または、指○○機関に中間検査を申請する

・中間検査の実施
建築主事が行う場合：申請受理日から○○日以内に検査。OKなら中○○証を発行
指定確認検査機関が行う場合：検査引受時に、建○○事に通知する。OKなら中間検査済証を発行。検査後、中○○報告書を特○○庁に提出。","中間検査：法7条
・中間検査の申請：
建築主は、特定工程を含む工事の場合、特定工程終了後4日以内に、
建築主事または、指定確認検査機関に中間検査を申請する

・中間検査の実施
建築主事が行う場合：申請受理日から4日以内に検査。OKなら中間検査済証を発行
指定確認検査機関が行う場合：検査引受時に、建築主事に通知する。OKなら中間検査済証を発行。検査後、中間検査報告書を特定行政庁に提出。"
"中間検査：
特定工程の後工程は交付前は施工○○。（特定工程の箇所が見えなくなっちゃうため）","中間検査：
特定工程の後工程は交付前は施工NG。（特定工程の箇所が見えなくなっちゃうため）"
"仮使用認定
原則「避○○等に関する工事」を含む場合は、検査済証交付されないと使用NG。
※火事とかで逃げられなくなって危ないから！","仮使用認定
原則「避難施設等に関する工事」を含む場合は、検査済証交付されないと使用NG。
※火事とかで逃げられなくなって危ないから！"
"仮使用認定の条件
①特○○庁が安全上などに問題ないと認めた時
②建○○事、指○○機関が、安全上などで、大○○が定める基準に適合しているとに問題ないと認めた時
③完了検査申請が受理された日から○○日が経過した時は、検査済証の交付前でも利用可能","仮使用認定の条件
①特定行政庁が安全上などに問題ないと認めた時
②建築主事、指定確認検査機関が、安全上などで、大臣が定める基準に適合しているとに問題ないと認めた時
③完了検査申請が受理された日から7日が経過した時は、検査済証の交付前でも利用可能"
■定期報告と違反建築物等に対する措置,■定期報告と違反建築物等に対する措置
"定期報告の対象となる建築物
①令○○条で定める、全国一律で対象となるもの
②特○○庁が①以外の中から定めるもの","定期報告の対象となる建築物
①令16条で定める、全国一律で対象となるもの
②特定行政庁が①以外の中から定めるもの"
"・定期調査の対象となる建築物：特定建築物という
法○○条
※特定建築物の該当は問題解きながら書く感じかなぁ。","・定期調査の対象となる建築物：特定建築物という
法12条
※特定建築物の該当は問題解きながら書く感じかなぁ。"
"・建築設備等の定義
防火設備など
※書く","・建築設備等の定義
防火設備など
※書く"
"・特殊建築設備等の定義
昇降機
昇降機以外の・・・
昇降機以外の・・・
※書く","・特殊建築設備等の定義
昇降機
昇降機以外の・・・
昇降機以外の・・・
※書く"
"・違反建築物への・・・
※書く","・違反建築物への・・・
※書く"
"■建築工事届など：法15条

建築工事工事届の提出者：建○○
提出先：建築主事などを経由して、都○○事

建築物除却届の提出者：施○○
提出先：建○○事などを経由して、都○○事","■建築工事届など：法15条

建築工事工事届の提出者：建築主
と、その提出先：建築主事などを経由して、都道府県知事

建築物除却届の提出者：施工者
と、その提出先：建築主事などを経由して、都道府県知事"
【007一般構造①採光、シックハウス対策】,【007一般構造①採光、シックハウス対策】
■居室の採光：法28条,■居室の採光：法28条
"・採光が必要な居室、と、有効採光面積の割合
①：幼稚園、小・中学校、高校、保育園の教室：1/○○以上
②：住居居室、病院病室、寄宿舎の寝室、児童福祉施設の寝室：1/○○以上
③：①以外の学校の教室、病院の談話室：1/○○以上","・採光が必要な居室、と、有効採光面積の割合
①：幼稚園、小・中学校、高校、保育園の教室：1/5以上
②：住居居室、病院病室、寄宿舎の寝室、児童福祉施設の寝室：1/7以上
③：①以外の学校の教室、病院の談話室：1/10以上"
"・有効採光面積の計算方法：令20条
窓などの開口部面積x採○○係数","・有効採光面積の計算方法：令20条
窓などの開口部面積x採光補正係数"
"・採光補正係数の算出方法：令20条2項
①住居系：採光補正係数=D/Hx6.0-1.4
③工業系：採光補正係数=D/Hx8.0-1.0
①商業系：採光補正係数=D/Hx10.0-1.0","・採光補正係数の算出方法：令20条2項
①住居系：採光補正係数=D/Hx6.0-1.4
③工業系：採光補正係数=D/Hx8.0-1.0
①商業系：採光補正係数=D/Hx10.0-1.0

D/H：採光関係比率 （対象の窓に複数ある場合は最小の値とする）      
D：開口部の直上にある建築物の各部分からその部分にに面する隣地境界線までの水平距離       
H：開口部の直上にある建築物の各部分から開口部の中心までの垂直距離       
　・敷地境界線が、川、公園等に面する場合は、その幅の1/2だけ隣地境界線の外側にある
　　とみなし、Dを算定する。       
       
採光補正係数は、天窓にあっては計算結果の3.0倍、幅90㎝以上の縁側がある場合は計算結
果の0.7倍とする。ただし、いずれの場合も3.0を限度とする。"
"D：開口部の直上にある建築物から隣地境界線までの水平距離       
H：開口部の直上にある建築物から開口部の中心までの垂直距離

・敷地境界線が、川、公園等に面する場合は、
その幅の1/2だけ隣地境界線の外側にあるとみなし、Dを算定する。","D/H：採光関係比率 （対象の窓に複数ある場合は最小の値とする）      
D：開口部の直上にある建築物の各部分からその部分にに面する隣地境界線までの水平距離       
H：開口部の直上にある建築物の各部分から開口部の中心までの垂直距離       
　・敷地境界線が、川、公園等に面する場合は、その幅の1/2だけ隣地境界線の外側にある
　　とみなし、Dを算定する。       "
"採光補正係数は、
①天窓にあっては計算結果の3.0倍。
②幅90㎝以上の縁側がある場合は計算結果の0.7倍。
③採光補正係数が3.0超の場合は3.0。
④採光補正係数が負の場合は、0。
⑤開口部が道に面する場合、算定地1.0未満は、1.0。","採光補正係数は、
①天窓にあっては計算結果の3.0倍。
②幅90㎝以上の縁側がある場合は計算結果の0.7倍。
③採光補正係数が3.0超の場合は3.0。
④採光補正係数が負の場合は、0。
⑤開口部が道に面する場合、算定地1.0未満は、1.0。"
■シックハウス対策、石綿等の飛散防止対策,■シックハウス対策、石綿等の飛散防止対策
"・法28条の2により、石綿等は使用禁止。石綿等以外の物質は、政令で定める技術的基準に適合する
・令20条の5により、石綿以外にクロルピリホスとホルムアルデヒドが指定されている。
・令20条の6により、クロルピリホスは使用禁止。
・令20条の7により、ホルムアルデヒドの使用量規制","・法28条の2により、石綿等は使用禁止。石綿等以外の物質は、政令で定める技術的基準に適合する
・令20条の5により、石綿以外にクロルピリホスとホルムアルデヒドが指定されている。
・令20条の6により、クロルピリホスは使用禁止。
・令20条の7により、ホルムアルデヒドの使用量規制"
・換気設備,・換気設備
"①機械換気
1時間あたりの有効換気量：換気階数x居室の容積
換気回数
住宅等の居室：○○回/時
その他の居室：○○回/時","①機械換気
1時間あたりの有効換気量：換気階数x居室の容積
換気回数
住宅等の居室：0.5回/時
その他の居室：0.3回/時"
"②空気浄化供給方式の機械換気設備
大臣が定めた構造方法、又は、大臣認定品","②空気浄化供給方式の機械換気設備
大臣が定めた構造方法、又は、大臣認定品"
【008一般構造②階段など】,【008一般構造②階段など】
■居室,■居室
"・居室の天井高さ：令○○条
○○m以上（斜め天井等は平均高さ）","・居室の天井高さ：令21条
2.1m以上（斜め天井等は平均高さ）"
"・木造の最下階の居室：令○○条
床高さ：地面から床上面○○cm
外壁の床下の換気口：壁○○m毎に面積○○cm2以上+ネズミ侵入防止設備","・木造の最下階の居室：令22条
床高さ：地面から床上面45cm
外壁の床下の換気口：壁5m毎に面積300cm2以上"
"・地下の居室、下記のどれかが必要：令○○条の○○
①か○○（ド○○エリア）等に面する開口 or
②令○○条の2の換気設備 or
③居室の湿○○を調整する設備","・地下の居室、下記のどれかが必要：令22条の2
からぼり（ドライエリア）等に面する開口 or
令20条の2の換気設備 or
居室の湿度を調整する設備"
"・長屋、共同住宅の各戸の界壁：法○○条、令○○条の○○
小屋○○、または、天井○○に達するもの
and
一定の遮○○性能（大臣が定めた構造or大臣認定品）","・長屋、共同住宅の各戸の界壁：法30条、令22条の3
小屋裏、または、天井裏に達するもの
and
一定の遮音性能（大臣が定めた構造or大臣認定品）"
"・敷地の衛生、安全：法○○条
敷地は道○○より高く、周囲の土○○より高く
軟弱地盤は盛○○・地○○改良が必要
下水管、溜○○が必要
がけ崩れの恐れがある場合は、擁○○などを設置","・敷地の衛生、安全：法19条
敷地は道路より高く、周囲の土地より高く
軟弱地盤は盛土・地盤改良が必要
下水管、溜枡が必要
がけ崩れの恐れがある場合は、擁壁などを設置"
■階段、踊り場の寸法,■階段、踊り場の寸法
"階段（小学校）：
階段幅○○cm以上、
蹴上げ○○cm以下、
踏面○○cm以上、
踊り場：高さ3m超の場合、3m以内毎に踊り場設置。
踊り場踏み幅：120cm以上。","階段（小学校）：
幅140cm以上、
蹴上げ16cm以下、
踏面26cm以上"
"階段（中学校、高校 + 劇場・映画館等）：
階段幅○○cm以上、
蹴上げ○○cm以下、
踏面○○cm以上、
踊り場：高さ3m超の場合、3m以内毎に踊り場設置。
踊り場踏み幅：120cm以上。","階段（中学校、高校 + 劇場・映画館等）：
幅140cm以上、
蹴上げ18cm以下、
踏面26cm以上"
"直上階の居室○○m2以上：
階段幅○○cm以上、
蹴上げ○○cm以下、
踏面○○cm以上、
踊り場：高さ4m超の場合、4m以内毎に踊り場設置。
踊り場踏み幅：120cm以上。","直上階の居室200m2以上：
幅120cm以上、
蹴上げ20cm以下、
踏面24cm以上"
"その他：
階段幅○○cm以上、
蹴上げ○○cm以下、
踏面○○cm以上、
踊り場：高さ4m超の場合、4m以内毎に踊り場設置。
踊り場踏み幅：120cm以上。","その他：
幅75cm以上、
蹴上げ22cm以下、
踏面21cm以上"
"屋外階段：
・直通階段：階段幅○○cm以上（令○○条、令○○条）
・その他の階段：階段幅○○cm以上","屋外階段：
・直通階段：階段幅90cm以上（令120条、令121条）
・その他の階段：階段幅60cm以上"
"住宅の階段：
蹴上げ：23cm以上
踏面：15cm以上","住宅の階段：
蹴上げ：23cm以上
踏面：15cm以上"
"特殊用途の専用階段：令27条、令129条の9第五号
蹴上げ：23cm以下
踏面：15cm以上
手すり：側壁あればOK、無ければ手すり設置","特殊用途の専用階段：令27条、令129条の9第五号
蹴上げ：23cm以下
踏面：15cm以上
手すり：側壁あればOK、無ければ手すり設置"
"回り階段の踏面寸法の計測位置：令23条
踏面の狭い方の端から30㎝の位置で測る。","回り階段の踏面寸法の計測位置：令23条
踏面の狭い方の端から30㎝の位置で測る。"
"手すりの要件：令25条、令23条
・階段には手すりが、原則必要。
（※ただし、高さ1m以下の階段は不要）

・階段幅が3m超：中間に手すりを設ける
（※ただし蹴上15cm以下、踏面30cm以上のものは中間手すり不要）

・手すりは10cmまで無いものとして、階段有効幅を算定。令23条3項","手すりの要件：令23条
・階段には手すりが、原則必要。
（※ただし、高さ1m以下の階段は不要）

・階段幅が3m超：中間に手すりを設ける
（※ただし蹴上15cm以下、踏面30cm以上のものは中間手すり不要）

・手すりは10cmまで無いものとして、階段有効幅を算定。"
"階段に代わる傾斜路：令26条の2項
・勾配：1/8
・表面：粗面、滑りにくい素材
・幅、踊り場、手すり：階段に準ずる","階段に代わる傾斜路：令26条の2項
・勾配：1/8
・表面：粗面、滑りにくい素材
・幅、踊り場、手すり：階段に準ずる"
【009建築設備①換気】,【009建築設備①換気】
"居室の換気：法28条
居室の換気に必要な開口面積：○○面積の1/○○以上
※自然換気設備、機械換気設備、中管理方式の空調設備、大臣認定設備があればOK","居室の換気：法28条
・居室の換気に必要な開口面積：床面積の1/20以上
※自然換気設備、機械換気設備、中管理方式の空調設備、大臣認定設備があればOK"
"令20条の3第1項で定める換気設備が必要
①法別表1(い)欄一項（劇場、集会場など）の特殊建築物
②調理室、浴室など（※ただし、令20条の3第1項で定めるものを除く）","令20条の3　1項で定める換気設備が必要
・劇場、集会場などの特殊建築物
・調理室、浴室など"
"・調理室の換気設備の基準
①給気口は天井高さの1/○○以下
②排気口は天井から下方○○cm以内
③給気口・給気筒の有効開口面積・有効断面積、
　換気扇の有効換気量は大臣が定める数値以上
④○○kW超の火気使用設備は煙突必要
⑤室内酸素含有率○○%以上にできる大臣認定品","・調理室の換気設備の基準
①給気口は天井高さの1/2以下
②排気口は天井から下方80cm以内
③給気口・給気筒の有効開口面積・有効断面積、
　換気扇の有効換気量は大臣が定める数値以上
④12kW超の火気使用設備は煙突必要
⑤室内酸素含有率20.5%以上にできる大臣認定品"
"・有効な換気面積が確保できない居室の換気設備
自然換気設備、機械換気設備、中央管理方式の空調設備、大臣認定設備","・有効な換気面積が確保できない居室の換気設備
自然換気設備、機械換気設備、中管理方式の空調設備、大臣認定設備"
"・自然換気設備の構造
①換気上有効な給気口、排気筒がある
②給気口は天井高の1/○○以下に設置
③排気口は給気口より高い位置に設置
④排気筒は、有効な立上り、頂部は直接外気に開放","・自然換気設備の構造
①換気上有効な給気口、排気筒がある
②給気口は天井高の1/2以下に設置
③排気口は給気口より高い位置に設置
④排気筒は、有効な立上り、頂部は直接外気に開放"
"・機械換気設備の構造
換気上有効な
①給気機および排気機（1種）、
②給気機および排気口（2種）、
③給気口および排気機（3種）
をもつこと","・機械換気設備の構造
換気上有効な
①給気機および排気機（1種）、
②給気機および排気口（2種）、
③給気口および排気機（3種）
をもつこと"
"中央管理方式の空調設備：令129条の2
浮遊粉塵、一酸化炭素などを浄化し、温湿度、流量を調整して供給できる性能。かつ大臣が定めた構造方法。
①浮遊粉じん：0.15mg/m3
②一酸化炭素：6ppm以下
③CO2：1000ppm以下
④温度：18度～28度。（外気より低くする場合は、差を大きくしすぎない）
⑤相対湿度：40%～70%
⑥気流：0.5m/s以下
⑤ホルムアルデヒド：0.1mg/m3","中央管理方式の空調設備：令129条の2
浮遊粉塵、一酸化炭素などを浄化し、温湿度、流量を調整して供給できる性能。かつ大臣が定めた構造方法。
①浮遊粉じん：0.15mg/m3
②一酸化炭素：6ppm以下
③CO2：1000ppm以下
④温度：18度～28度。（外気より低くする場合は、差を大きくしすぎない）
⑤相対湿度：40%～70%
⑥気流：0.5m/s以下
⑤ホルムアルデヒド：0.1mg/m3"
"中央管理室：令20条の2
・高さ○○m超の建築物 or 床面積1000m2超の地下街の
・機械換気設備 or 中央管理方式の空気調和設備の制御監視は、
・当該建築物内の、避難階(orその直上/直下階)の中央管理室で制御監視が必要。","・高さ31m超、
中央管理室で、制御監視が必要。
※ちゃんと書く"
"便所:
・下水道法による処理区域内では水洗便所としなければならない。​（法31条）
・便所には、採光及び換気のために直接外気に接する窓を設けなけらばならない。 ​​
ただし、これに代わる設備（照明、換気設備）をした場合は、窓がなくてもよい。​（​令28条）
・便所から ​排出する汚物を公共下水道以外に放流する場合は、屎尿浄化槽が必要。（令32条、令33条、令35条）
・排水の配管設備の末端は公共下水道等に排水上有効に連結し​なければならない。
また、汚水に接する部分は、不浸透質の耐水材料で造らなければならない。 ​​（​令129条の2の4  3項）
・し尿浄化槽などは、満水して○○時間以上漏水しないこと（令33条）
・汲み取り便所は、井戸から○○m離す（令34条）","便所:
・下水道法による処理区域内では水洗便所としなければならない。​（法31条）
・便所には、採光及び換気のために直接外気に接する窓を設けなけらばならない。 ​​
ただし、これに代わる設備（照明、換気設備）をした場合は、窓がなくてもよい。​（​令28条）
・便所から ​排出する汚物を公共下水道以外に放流する場合は、屎尿浄化槽が必要。（令32条、令33条、令35条）
・排水の配管設備の末端は公共下水道等に排水上有効に連結し​なければならない。
また、汚水に接する部分は、不浸透質の耐水材料で造らなければならない。 ​​（​令129条の2の4  3項）
・し尿浄化槽などは、満水して○○時間以上漏水しないこと（令33条）
・汲み取り便所は、井戸から○○m離す（令34条）"
【010建築設備②配管設備、昇降機など】,【010建築設備②配管設備、昇降機など】
"・給排水などの配管設備の構造：令129条の2の4
①コンクリート埋設等により腐食するおそれのある部分には腐食防止措置
②エレベーターの昇降路内には配管設備を設けない
③防火区画貫通は原則、貫通部と両側○○mを不燃材料","・給排水などの配管設備の構造：令129条の2の4
①コンクリート埋設等により腐食するおそれのある部分には腐食防止措置
②エレベーターの昇降路内には配管設備を設けない
③防火区画貫通は原則、貫通部と両側1mを不燃材料"
"・飲料水の配管設備は、
ク○○コネクション禁止
吐○○空間の確保","・飲料水の配管設備は、
クロスコネクション禁止
吐水口空間の確保"
"排水配管設備：令129条の2
・排水配管設備は、用途により、有効な、容量、傾斜、材質を有すること。
・排水トラップ、通気管などを設置すること。
・末端は、排水施設に有効に連結すること。
・汚水に接する部分は、不浸透質の耐水材料とする。","・排水配管設備は、
用途により、有効な、容量、傾斜、材質を有すること
排水トラップ、通気管などを設置すること
末端は、排水施設に有効に連結すること
汚水に接する部分は、不浸透質の耐水材料とする"
"風道、ダストシュートの材料：令129条の2
3階以上、地階に居室がある建築物、延べ面積3000m2超の建築物に
設ける、風道、ダストシュート等を不燃材料で作る。","・3階以上、地階に居室の建築物は
風道、ダストシュート等を不燃材料とする。"
"避雷設備：法33条、令129条の14、15
高さ○○m以上（塔屋含む）の建築物は、避雷設備を設ける
腐食しにくい材料か、腐食防止措置を講じる","・避雷設備
高さ20m以上（塔屋含む）の建築物は、避雷設備を設ける
腐食しにくい材料か、腐食防止措置を講じる"
"冷却塔：令129条の2
11階以上の建築物の屋上に設ける冷却塔設備は、
不○○材料、大臣が定めた構造","・11階以上の建築物の屋上に設ける冷却塔設備は、
不燃材料、大臣が定めた構造"
"エレベーター：法34条、令129条の6
昇降路周壁、開口部は防火上支障がない構造
高さ○○m超の建築物には、非常用の昇降機が必要","・エレベーター
昇降路周壁、開口部は防火上支障がない構造
高さ31m超の建築物には、非常用の昇降機が必要"
"エレベーターの定義：
・エレベーター：かごの水平投影面積が○○m2超、又は、天井高さ○○m超
・小荷物昇降機の定義：上記の以外","エレベーターの定義
・エレベーター：かごの水平投影面積が1m2超、又は、天井高さ1.2m超
・小荷物昇降機の定義：上記の以外"
"エレベーターのかごの構造：令129条の6
※重要な所を書く","エレベーターのかごの構造：令129条の6
※重要な所を書く"
"エレベーターの機械室の構造：令129条の9
①床面積は、昇降路の水平投影面積の2倍以上

②床面から天井又ははりの下端までの垂直距離は、かごの定格速度に応じて、一定の数値以上とすること。

③換気上有効な開口部又は換気設備を設けること。

④出入口の幅及び高さは、それぞれ、
幅：70cm以上
高さ：1.8m以上とし、
施錠装置を有する鋼製の戸を設けること。

⑤機械室への階段の
蹴上げ：23cm以下
踏面：15cm以上
手すり：両側に側壁又はこれに代わるものがない場合においては、手すりを設けること。","エレベーターの機械室の構造：令129条の9
①床面積は、昇降路の水平投影面積の2倍以上

②床面から天井又ははりの下端までの垂直距離は、かごの定格速度に応じて、一定の数値以上とすること。

③換気上有効な開口部又は換気設備を設けること。

④出入口の幅及び高さは、それぞれ、
幅：70cm以上
高さ：1.8m以上とし、
施錠装置を有する鋼製の戸を設けること。

⑤機械室への階段の
蹴上げ：23cm以下
踏面：15cm以上
手すり：両側に側壁又はこれに代わるものがない場合においては、手すりを設けること。"
"・エスカレーターの構造：令○○条の○○
①勾配は○○度以下
②踏段の幅：○○m以下、
③踏段の定格速度、○○m/分以下
④踏段の積載荷重　P＝○○A、P：積載荷重、A：踏段面積","・エスカレーターの構造：令129条の12
①勾配は30度以下
②踏段の幅：1.1m以下、
③踏段の定格速度、50m/分以下
④踏段の積載荷重　P＝2600A、P：積載荷重、A：踏段面積"
【011構造強度①】,【011構造強度①】
"・構造部材
構造耐力上主要な部分の材料：腐食・腐朽・摩耗しにくい材料とする","・構造部材
構造耐力上主要な部分の材料：腐食・腐朽・摩耗しにくい材料とする"
"・基礎
原則、異なる構造方法による基○○を併用してはならない。","・基礎
原則、異なる構造方法による基礎を併用してはならない。"
"・屋根ふき材、内装材、など
風○○および地○○などにより脱落しないようにする","・屋根ふき材、内装材、など
風圧および地震などにより脱落しないようにする"
"木造：令40条
・木材の品質：節、腐れ、など耐力上の欠点がないこと
・原則最下階の柱の下部には、土台を設置する。
・柱の小径：※整理して書く！！なんかめんどくさそうだぞ笑
※ただし、茶室・東屋等の建築物、又は、延べ面積○○m2以内の物置には適用しない。","木造：令40条
・木材の品質：節、腐れ、など耐力上の欠点がないこと
・原則最下階の柱の下部には、土台を設置する。
・柱の小径：※整理して書く！！なんかめんどくさそうだぞ笑
※ただし、茶室・東屋等の建築物、又は、延べ面積10m2以内の物置には適用しない。"
"補強コンクリートブロック造：令62条の4
・耐力壁の中心線で囲まれた水平投影面積は60m2以下とする。
・耐力壁には原則として、臥梁を設ける。
・臥梁の有効幅20cm以上。","・補強コンクリートブロック
※書く"
"補強CB造の塀：令62条の8
①高さ2.2m以下、壁厚15cm以上
②径9mm以上の鉄筋を配置。
③控え壁：長さ3.4m以下ごとに配置。壁高さの1/5以上突出
④基礎丈35cm以上、根入れ深さ30cm以上。",
【012構造強度②】,【012構造強度②】
■鉄骨造,■鉄骨造
"構造耐力上主要な部分の材料：令64条
炭○○鋼、ス○○鋼、鋳○○
※鋳鉄は圧縮応力、接触応力以外は不可","・構造耐力上主要な部分の材料
炭素鋼、ステンレス鋼、鋳鉄
※鋳鉄は圧縮応力、接触応力以外は不可"
"圧縮材の有効細長比：令65条
柱：○○以下
柱以外：○○以下","・圧縮材の有効細長比：
柱：200以下
柱以外：250以下"
"柱の脚部：令66条
ア○○ボルトで緊結","・柱の脚部
アンカーボルトで緊結"
"鋼材の接合方法：令68条
高○○ボルト、溶○○、リ○○、大臣認定","・鋼材の接合方法
高力ボルト、溶接、リベット、大臣認定"
"高力ボルト、ボルト、リベットの相互間の中心距離：令68条
径の○○倍以上","・高力ボルト、ボルト、リベットの相互間の中心距離
径の2.5倍以上"
■鉄筋コンクリート造,■鉄筋コンクリート造
"鉄筋の末端：令73条
・原則、折り曲げ定着が必要
・異形鉄筋は折り曲げないことが可能。
（※柱、梁の出隅部分、煙突は折り曲げ定着必須）",・鉄筋の末端：
"継手の重ね長さ：
・構造部材：径の○○倍以上
・それ以外：形の○○倍以上
※整理して書く。構造の章も参考にする。","・継手の重ね長さ
構造部材：径の25倍以上
それ以外：形の40倍以上"
"RC造のコンクリート：令74条
・○○週圧縮強度：○○N/mm2以上","・RC造のコンクリート
4週圧縮強度：12N/mm2以上"
"打設中のコンクリート温度：令75条
・打設から○○日間、○○℃を下回らないようにする。
・乾燥、振動等によりコンクリートの凝結が妨げられないようにする。","打設中のコンクリート温度：令75条
・打設から5日間、2℃を下回らないようにする
・乾燥、振動等によりコンクリートの凝結が妨げられないようにする。"
"・構造耐力上主要な部分の柱
①主筋は○○本以上
②主筋は帯筋と緊結
③帯筋径は○○cm以上、間隔は○○mm以下
　帯筋比：○○%以上、","・構造耐力上主要な部分の柱
①主筋は4本以上
②主筋は帯筋と緊結
③帯筋径は6mm以上、間隔は15cm以下
　帯筋比：0.2%以上、"
"構造耐力上主要な部分の床版：令77条の2
①厚さ○○cm以上、かつ、短辺方向の有効張り間長さ1/○○以上
②引張鉄筋の間隔
短辺方向：○○cm以下
長辺方向：○○cm以下","・構造耐力上主要な部分の床版
①厚さ8cm以上、かつ、短辺方向の有効張り間長さ1/40以上
②引張鉄筋の間隔
短辺方向：20cm以下
長辺方向：30cm以下"
"構造耐力上主要な部分の梁：令78条
①複筋梁とし、
②あばら筋を梁の○○/4以下（臥梁は○○cm以下）で配置。","・構造耐力上主要な部分の梁
①複筋梁
②あばら筋を梁の3/4以下（臥梁は30cm以下）で配置。"
"耐力壁：令78条の2
①厚さ○○cm以上
②開口部周囲：
・径○○mm以上の補強筋を配置し、
・径9mm以上の鉄筋を縦横に30cm以下で配置。","・耐力壁
①厚さ12cm以上
②開口部周囲：径12mm以上の補強筋
※書く"
"壁式構造の耐力壁：令78条の2
①長さ○○cm以上
②端部及び隅角部に径○○mm以上の鉄筋を縦に配置
③各階の耐力壁は壁梁に緊結","・壁式構造の耐力壁
①長さ45cm以上
②端部及び隅角部に径12mm以上の鉄筋を縦に配置
③各階の耐力壁は壁梁に緊結"
"コンクリートの「最小」かぶり厚さ：令79条、令79条の3
一般壁、床スラブ、屋根スラブ：20mm 
柱、梁、耐力壁：30mm
直接土に接する部位：40mm
基礎：60mm 
SRC造の鉄骨：50mm","コンクリートの「最小」かぶり厚さ：令79条、令79条の3
一般壁、床スラブ、屋根スラブ：20mm 
柱、梁、耐力壁：30mm
直接土に接する部位：40mm
基礎：60mm 
SRC造の鉄骨：50mm"
【013構造計算】,【013構造計算】
■構造耐力とその計算方法,■構造耐力とその計算方法
"建築物の規模による分類（20条区分）：法20条1項
法20条一号（超高層）：
高さ60m超

法20条二号（大規模）：
①木造で、階数4以上、または、高さ16m超
②鉄骨造で、地上4階以上
③RC造、SRC造で、高さ20m超
その他、令36条の2で定める建築物

法20条三号（中規模）：
①法6条1項一号、又は、法6条1項二号の建築物
②木造で、階数3以上、または、延べ面積300m2超
※理解ができない。これは聞いた方が良い。

法20条四号：
それ以外","建築物の規模による分類（20条区分）：法20条1項
法20条一号（超高層）：
高さ60m超

法20条二号（大規模）：
①木造で、階数4以上、または、高さ16m超
②鉄骨造で、地上4階以上
③RC造、SRC造で、高さ20m超
その他、令36条の2で定める建築物

法20条三号（中規模）：
①法6条1項一号、又は、法6条1項二号の建築物
②木造で、階数3以上、または、延べ面積300m2超
※理解ができない。これは聞いた方が良い。

法20条四号：
それ以外"
